Marca temporal,Titulazioa,Kurtsoa,Adina,Género,Lengua materna,1. ¿Porqué participas actualmente en esta actividad? Porque creo que esta actividad es interesante.,2. ¿Porqué participas actualmente en esta actividad? Porque se supone que debo hacerlo.,3. ¿Porqué participas actualmente en esta actividad? Por mi propio bien,"4. ¿Porqué participas actualmente en esta actividad? Puede que haya buenas razones para realizar esta actividad, pero yo no veo ninguna",5. ¿Porqué participas actualmente en esta actividad? Porque disfruto con esta actividad,6. ¿Porqué participas actualmente en esta actividad? Porque creo que esta actividad es buena para mí,7. ¿Porqué participas actualmente en esta actividad? Porque es algo que tengo que hacer,"8. ¿Porqué participas actualmente en esta actividad? Realizo esta actividad, pero no estoy seguro de si vale la pena",9. ¿Porqué participas actualmente en esta actividad? Porque esta actividad es divertida,10. ¿Porqué participas actualmente en esta actividad? Por decisión personal,11. ¿Porqué participas actualmente en esta actividad? Porque no tengo otra alternativa,12. ¿Porqué participas actualmente en esta actividad? No lo sé; no veo qué me aporta esta actividad,13. ¿Porqué participas actualmente en esta actividad? Porque me siento bien realizando esta actividad,14. ¿Porqué participas actualmente en esta actividad? Porque creo que esta actividad es importante para mí,15. ¿Porqué participas actualmente en esta actividad? Porque creo que tengo que hacerlo,"16. ¿Porqué participas actualmente en esta actividad? Hago esta actividad, pero no estoy seguro de que sea conveniente continuar con ella",
2017/4/27 14:48:36,Grado en matemáticas,4,23,Mujer,Español,5. Suficiente,5. Suficiente,6. Bastante,2. Muy poco,3. Poco,3. Poco,3. Poco,3. Poco,3. Poco,2. Muy poco,3. Poco,3. Poco,3. Poco,3. Poco,3. Poco,3. Poco,
2017/4/27 14:48:39,Física,4,25,Mujer,Español,4. Moderadamente,6. Bastante,6. Bastante,5. Suficiente,6. Bastante,5. Suficiente,7. Muy de acuerdo,6. Bastante,6. Bastante,4. Moderadamente,4. Moderadamente,4. Moderadamente,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,
2017/4/27 14:49:02,Matematikako gradua,4,22,Mujer,Euskara,3. Poco,6. Bastante,3. Poco,5. Suficiente,2. Muy poco,2. Muy poco,6. Bastante,2. Muy poco,4. Moderadamente,1. No estoy de acuerdo en nada,6. Bastante,4. Moderadamente,3. Poco,2. Muy poco,5. Suficiente,5. Suficiente,
2017/4/27 14:49:16,Grado en Ingenieria Electrónica,4,25,Mujer,Euskara,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,5. Suficiente,5. Suficiente,6. Bastante,4. Moderadamente,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,5. Suficiente,3. Poco,4. Moderadamente,3. Poco,
2017/4/27 14:49:51,Fisika,4,21,Hombre,Euskara,6. Bastante,6. Bastante,3. Poco,1. No estoy de acuerdo en nada,4. Moderadamente,2. Muy poco,6. Bastante,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,4. Moderadamente,1. No estoy de acuerdo en nada,3. Poco,2. Muy poco,4. Moderadamente,1. No estoy de acuerdo en nada,
2017/4/27 14:52:07,Matemáticas,4,22,Mujer,Euskara,4. Moderadamente,6. Bastante,7. Muy de acuerdo,4. Moderadamente,3. Poco,4. Moderadamente,6. Bastante,5. Suficiente,2. Muy poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,
2017/4/27 14:54:02,Matemáticas,4,21,Mujer,Euskara,5. Suficiente,7. Muy de acuerdo,3. Poco,3. Poco,3. Poco,5. Suficiente,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,2. Muy poco,6. Bastante,3. Poco,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,3. Poco,
2017/4/27 14:54:22,Grado en Matematicas,3-4,21,Mujer,Español,6. Bastante,6. Bastante,4. Moderadamente,2. Muy poco,6. Bastante,5. Suficiente,6. Bastante,4. Moderadamente,6. Bastante,1. No estoy de acuerdo en nada,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,6. Bastante,3. Poco,
2017/4/27 15:00:40,Grado de Matemáticas,4,21,Mujer,Español,3. Poco,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,3. Poco,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,2. Muy poco,3. Poco,3. Poco,3. Poco,2. Muy poco,6. Bastante,3. Poco,
2017/11/30 9:24:45,Lehen Hezkuntza,Lehenengo maila,18,Mujer,Español,5. Suficiente,5. Suficiente,6. Bastante,3. Poco,4. Moderadamente,6. Bastante,6. Bastante,2. Muy poco,3. Poco,4. Moderadamente,4. Moderadamente,5. Suficiente,4. Moderadamente,5. Suficiente,4. Moderadamente,4. Moderadamente,Opción 1
